age_month,severly_wasted,wasted_from,wasted_to,normal_from,normal_to,overweight_from,overweight_to
92.5,10.2,10.3,11.1,11.2,16,16.1,17.6,17.7
93,10.3,10.4,11.2,11.3,16.1,16.2,17.8,17.9
93.5,10.4,10.5,11.3,11.4,16.3,16.4,17.9,18
94,10.5,10.6,11.4,11.5,16.4,16.5,18.1,18.2
94.5,10.6,10.7,11.5,11.6,16.6,16.7,18.3,18.4
95,10.7,10.8,11.6,11.7,16.7,16.8,18.5,18.6
95.5,10.7,10.8,11.7,11.8,16.9,17,18.6,18.7
96,10.8,10.9,11.8,11.9,17,17.1,18.8,18.9
96.5,10.9,11,11.9,12,17.2,17.3,19,19.1
97,11,11.1,12,12.1,17.4,17.5,19.2,19.3
97.5,11.1,11.2,12.1,12.2,17.5,17.6,19.3,19.4
98,11.2,11.3,12.2,12.3,17.7,17.8,19.5,19.6
98.5,11.3,11.4,12.3,12.4,17.9,18,19.7,19.8
99,11.4,11.5,12.4,12.5,18,18.1,19.9,20
99.5,11.5,11.6,12.6,12.7,18.2,18.3,20.1,20.2
100,11.6,11.7,12.7,12.8,18.4,18.5,20.3,20.4
100.5,11.8,11.9,12.8,12.9,18.6,18.7,20.5,20.6
101,11.9,12,12.9,13,18.7,18.8,20.7,20.8
101.5,12,12.1,13,13.1,18.9,19,20.9,21
102,12.1,12.2,13.2,13.3,19.1,19.2,21.1,21.2
102.5,12.2,12.3,13.3,13.4,19.3,19.4,21.4,21.5
103,12.3,12.4,13.4,13.5,19.5,19.6,21.6,21.7
103.5,12.4,12.5,13.5,13.6,19.7,19.8,21.8,21.9
104,12.5,12.6,13.7,13.8,19.9,20,22,22.1
104.5,12.7,12.8,13.8,13.9,20.1,20.2,22.3,22.4
105,12.8,12.9,13.9,14,20.3,20.4,22.5,22.6
105.5,12.9,13,14.1,14.2,20.5,20.6,22.7,22.8
106,13,13.1,14.2,14.3,20.8,20.9,23,23.1
106.5,13.2,13.3,14.4,14.5,21,21.1,23.2,23.3
107,13.3,13.4,14.5,14.6,21.2,21.3,23.5,23.6
107.5,13.4,13.5,14.6,14.7,21.4,21.5,23.7,23.8
108,13.6,13.7,14.8,14.9,21.7,21.8,24,24.1
108.5,13.7,13.8,14.9,15,21.9,22,24.3,24.4
109,13.8,13.9,15.1,15.2,22.1,22.2,24.5,24.6
109.5,14,14.1,15.3,15.4,22.4,22.5,24.8,24.9
110,14.1,14.2,15.4,15.5,22.6,22.7,25.1,25.2
110.5,14.3,14.4,15.6,15.7,22.9,23,25.4,25.5
111,14.4,14.5,15.7,15.8,23.1,23.2,25.7,25.8
111.5,14.6,14.7,15.9,16,23.4,23.5,26,26.1
112,14.7,14.8,16.1,16.2,23.6,23.7,26.2,26.3
112.5,14.9,15,16.2,16.3,23.9,24,26.5,26.6
113,15,15.1,16.4,16.5,24.2,24.3,26.8,26.9
113.5,15.2,15.3,16.6,16.7,24.4,24.5,27.1,27.2
114,15.3,15.4,16.7,16.8,24.7,24.8,27.4,27.5
114.5,15.5,15.6,16.9,17,25,25.1,27.8,27.9
115,15.6,15.7,17.1,17.2,25.2,25.3,28.1,28.2
115.5,15.8,15.9,17.2,17.3,25.5,25.6,28.4,28.5
116,15.9,16,17.4,17.5,25.8,25.9,28.7,28.8
116.5,16.1,16.2,17.6,17.7,26.1,26.2,29,29.1
117,16.2,16.3,17.7,17.8,26.3,26.4,29.3,29.4
117.5,16.4,16.5,17.9,18,26.6,26.7,29.6,29.7
118,16.5,16.6,18.1,18.2,26.9,27,29.9,30
118.5,16.7,16.8,18.3,18.4,27.2,27.3,30.3,30.4
119,16.8,16.9,18.4,18.5,27.4,27.5,30.6,30.7
119.5,17,17.1,18.6,18.7,27.7,27.8,30.9,31
120,17.2,17.3,18.8,18.9,28,28.1,31.2,31.3
